False_98_98	6.825787240708918	46.693565799999966	0.71804	0.90258	0.008998988943099976	
False_97_97	5.8886071258208155	44.40042499999996	0.71672	0.9025	0.009010804412364959	
False_96_96	5.18067334327504	42.86952299999998	0.71656	0.90244	0.009038257257938385	
False_95_95	4.541826673298627	41.628886400000006	0.71496	0.90192	0.00906764050424099	
False_94_94	4.136244947275072	40.74944460000001	0.71438	0.90136	0.009092064068317413	
False_93_93	3.7767261504228413	39.985163199999974	0.71378	0.9007	0.009122007645368576	
False_92_92	3.4917082783080637	39.34927280000001	0.71286	0.90068	0.009160497359037399	
False_91_91	3.317026441850662	38.829997600000006	0.71138	0.8998	0.00919439925134182	
False_90_90	3.1358978553797305	38.36771040000003	0.70996	0.89954	0.009231023498177528	
False_89_89	2.947076671825051	37.91966720000001	0.70864	0.89882	0.009273606379628182	
False_88_88	2.837622612543702	37.56814719999998	0.7084	0.89822	0.009301859343647956	
False_87_87	2.6875521009372174	37.2021328	0.70656	0.8978	0.009343932130932807	
False_86_86	2.590595278815329	36.90866800000001	0.70562	0.897	0.009383850949406624	
False_85_85	2.484280455445051	36.61252539999999	0.70434	0.89628	0.00942201108455658	
False_84_84	2.3923241845937073	36.34628839999998	0.70316	0.89562	0.00945544361114502	
False_83_83	2.3166971843640507	36.1105634	0.70162	0.89442	0.00950463787138462	
False_82_82	2.2323086281473934	35.880903399999994	0.70014	0.89384	0.009548223617076874	
False_81_81	2.1625850264552238	35.67837060000001	0.69968	0.89332	0.009586725662350654	
False_80_80	2.0914255510187147	35.45752780000002	0.69784	0.8926	0.00963974916100502	
False_79_79	2.0220298187080026	35.2530636	0.69652	0.89122	0.009686315662264824	
False_78_78	1.9831065935999155	35.09857179999999	0.69508	0.89032	0.009730553157925606	
False_77_77	1.925266900331825	34.94198619999997	0.69456	0.88972	0.009768212923407555	
False_76_76	1.8591329059642554	34.74816760000002	0.69248	0.8892	0.009810292656421662	
False_75_75	1.8108964177373053	34.57992499999995	0.69126	0.88888	0.009859834318757057	
False_74_74	1.7959413704693317	34.49666679999999	0.69008	0.88798	0.009889542283415794	
False_73_73	1.7398579284489155	34.32438339999998	0.68846	0.88702	0.009956881211400032	
False_72_72	1.6967831168963015	34.201133599999984	0.687	0.88624	0.009991886343955994	
False_71_71	1.6714884760729969	34.09261199999997	0.68622	0.88528	0.010024668035507202	
False_70_70	1.631522315032035	33.958706599999985	0.68548	0.885	0.010076220027804375	
